wavelength,Intensity
565.646,15.08703
565.866,15.19847
566.087,14.75215
566.307,14.49852
566.528,14.3464
566.748,14.02685
566.968,13.97104
567.188,13.1038
567.409,12.55602
567.629,12.14022
567.849,11.86637
568.069,11.88665
568.29,11.64327
568.51,11.52664
568.73,11.5419
568.95,11.20206
569.17,10.7913
569.39,10.52765
569.611,10.60373
569.831,10.87254
570.051,10.55792
570.271,10.71507
570.491,9.98489
570.711,10.17759
570.931,9.84296
571.151,9.35097
571.371,9.05687
571.591,8.80333
571.811,9.07213
572.031,9.60966
572.251,9.35615
572.471,9.16349
572.691,9.11283
572.911,9.32593
573.131,9.32086
573.35,9.01148
573.57,9.20927
573.79,8.81373
574.01,8.99633
574.23,8.4791
574.449,8.01758
574.669,7.70322
574.889,7.54091
575.109,7.56124
575.328,7.84027
575.548,7.81494
575.768,8.25112
575.988,8.23085
576.207,8.27649
576.427,8.37291
576.647,8.43384
576.866,8.42874
577.086,8.6569
577.305,8.58082
577.525,8.79373
577.744,8.78358
577.964,8.8394
578.184,9.43283
578.403,9.67626
578.623,9.6458
578.842,9.83856
579.062,9.86898
579.281,9.62558
579.5,9.47854
579.72,9.1539
579.939,9.0119
580.159,9.49373
580.378,9.33145
580.597,9.81327
580.817,9.90965
581.036,10.00087
581.255,9.80812
581.475,10.1429
581.694,9.70174
581.913,9.20978
582.132,9.14905
582.352,9.03241
582.571,8.40863
582.79,7.4044
583.009,7.26241
583.229,6.93276
583.448,6.96825
583.667,6.99868
583.886,6.94287
584.105,7.18128
584.324,7.4907
584.543,7.33343
584.762,6.99866
584.981,6.77048
585.2,6.19735
585.419,5.55325
585.638,5.52792
585.857,4.52876
586.076,4.22441
586.295,4.40188
586.514,5.03078
586.733,4.41696
586.952,4.488
587.171,4.96981
587.39,5.22847
587.609,4.86838
587.828,4.87853
588.047,4.22424
588.265,4.00108
588.484,3.80328
588.703,3.18448
588.922,2.85985
589.141,2.90548
589.359,2.5454
589.578,2.16497
589.797,2.58084
590.015,2.59098
590.234,2.55551
590.453,3.47866
590.671,3.33667
590.89,3.54969
591.109,3.1744
591.327,3.41278
591.546,3.23521
591.764,3.10334
591.983,2.95624
592.202,3.3062
592.42,3.48371
592.639,3.71195
592.857,3.93005
593.076,3.95034
593.294,4.03657
593.513,4.07714
593.731,3.78299
593.949,3.69169
594.168,4.06697
594.386,3.69167
594.605,3.76775
594.823,3.59024
595.041,3.46339
595.26,3.64597
595.478,3.44818
595.696,3.20979
595.914,3.17428
596.133,3.19458
596.351,3.20979
596.569,3.43296
596.787,3.57496
597.006,3.30615
597.224,3.29601
597.442,3.02212
597.66,3.49377
597.878,3.50391
598.096,4.02635
598.315,4.15316
598.533,4.57413
598.751,4.75166
598.969,5.12701
599.187,5.4719
599.405,5.24872
599.623,5.12198
599.841,5.13215
600.059,4.93435
600.277,5.07129
600.495,5.12707
600.713,4.51843
600.931,4.85314
601.149,4.97486
601.366,5.15742
601.584,5.09149
601.802,5.8167
602.02,6.14128
602.238,5.91816
602.456,5.83194
602.674,5.83693
602.891,5.96877
603.109,5.92314
603.327,5.82681
603.545,5.49205
603.762,5.54274
603.98,5.84708
604.198,5.99413
604.415,5.90787
604.633,6.19694
604.851,5.6187
605.068,5.90785
605.286,6.23246
605.503,5.78109
