lambda,0,30,60,90,120,150
411.534,83.54405,31.51964,5.08869,31.96845,89.84107,115.95119
411.764,84.03452,31.67679,4.94583,32.93036,91.4506,117.6369
411.994,84.4631,31.37679,4.8125,33.2875,92.66012,119.01786
412.224,85.76786,31.55774,4.53631,34.35893,94.15536,121.25119
412.454,86.85833,31.34345,3.82202,34.54464,95.59821,122.84167
412.684,88.13929,31.40536,3.72202,35.61131,97.28869,124.32262
412.914,89.09167,31.4625,3.4125,36.27798,98.6744,125.75595
413.144,89.99167,32.14345,3.42679,37.02083,100.63631,127.56548
413.374,91.01071,32.07679,3.05536,37.57798,101.86964,128.95119
413.604,91.55833,32.01964,2.70298,38.19702,103.19345,130.32262
413.834,92.3869,31.95298,2.45536,38.97321,104.93631,132.14167
414.063,93.01071,31.58631,2.13155,39.71607,106.59345,133.36548
414.293,94.44881,32.21964,2.71726,41.27321,108.88393,135.875
414.523,94.97738,32.15774,2.92679,42.3256,109.93155,137.30357
414.753,96.56786,32.3625,3.24583,43.70655,112.04107,139.35595
414.983,97.95357,32.45298,3.36488,44.58274,113.74107,141.14643
415.212,99.18214,32.79583,3.86488,46.13036,115.94107,143.10357
415.442,99.87262,32.38155,3.82202,46.93036,117.06964,144.34167
415.672,101.09167,32.48631,4.08393,48.20179,118.91726,145.81786
415.902,101.56786,32.48631,3.8744,48.75417,120.46964,147.17976
416.131,102.325,32.6244,4.16488,49.79226,121.77917,148.45595
416.361,102.91071,32.77679,4.7744,50.65893,123.09821,149.475
416.591,103.73452,32.45298,4.82679,51.03512,124.3506,150.89405
416.821,104.83452,32.77679,5.46964,52.6256,126.32679,152.90833
417.05,105.05357,32.66726,5.56012,53.3494,127.93155,154.27976
417.28,105.70119,32.58631,6.09821,54.41131,129.95536,156.19405
417.51,105.91548,32.4244,5.99345,55.19702,131.82679,157.72738
417.739,106.56786,32.35298,6.03631,56.45417,133.8506,159.2369
417.969,107.56786,32.18155,6.33155,57.55417,135.58869,161.27976
