lambda,intensity
523.503,94.2878
523.726,94.43542
523.95,94.27351
524.173,94.34494
524.396,94.60208
524.619,94.48304
524.842,94.65923
525.065,94.60208
525.288,94.55446
525.511,94.52589
525.735,94.81161
525.958,94.74018
526.181,94.51637
526.404,94.58304
526.627,94.2878
526.85,94.31161
527.073,94.06875
527.296,94.24018
527.519,94.24018
527.741,94.15446
527.964,93.65923
528.187,93.93065
528.41,93.74018
528.633,93.87827
528.856,93.72113
529.079,93.51161
529.302,93.29256
529.524,93.17351
529.747,93.29256
529.97,93.51161
530.193,93.41637
530.416,93.19256
530.638,93.02589
530.861,92.92589
531.084,92.78304
531.306,92.78304
531.529,92.54018
531.752,92.36399
531.974,92.07351
532.197,92.25446
532.42,92.81637
532.642,92.85923
532.865,92.76875
533.087,92.76399
533.31,92.58304
533.533,92.67827
533.755,92.64494
533.978,92.84494
534.2,92.92589
534.423,92.83542
534.645,92.76875
534.868,92.74494
535.09,92.77351
535.312,92.82113
535.535,93.25923
535.757,93.60208
535.98,93.56875
536.202,93.53542
536.424,93.84018
536.647,94.08304
536.869,94.04018
537.091,93.7497
537.314,93.72589
537.536,93.90685
537.758,93.68304
537.981,93.56399
538.203,93.35446
538.425,93.55446
538.647,93.62589
538.869,93.54018
539.092,93.60208
539.314,93.72589
539.536,93.60685
539.758,93.76875
539.98,93.86399
540.202,93.86875
540.424,93.71637
540.647,93.93542
540.869,93.88304
541.091,93.69732
541.313,93.78304
541.535,93.72113
541.757,93.63542
541.979,93.77827
542.201,93.53065
542.423,93.36399
542.645,93.49732
542.867,93.78304
543.088,93.88304
543.31,93.64018
543.532,93.69732
543.754,93.59256
543.976,93.3878
544.198,93.56399
544.42,93.41161
544.641,93.43542
544.863,93.27351
545.085,93.14018
545.307,92.89732
545.529,92.59256
545.75,92.52589
545.972,92.53065
546.194,92.35923
546.415,92.4497
546.637,92.3878
546.859,92.40208
547.08,92.81637
547.302,92.84494
547.524,92.45923
547.745,92.2497
547.967,91.99732
548.189,91.85446
548.41,92.08304
548.632,91.96875
548.853,92.12113
549.075,92.23065
549.296,92.2497
549.518,92.48304
