wavelength_nm,intensity
495.07253626813406,123123676135.837
495.24762381190595,123358547615.50723
495.4227113556779,123593623490.76675
495.5977988994497,123828903509.58705
495.77288644322164,124064387419.46112
495.94797398699353,124300074967.40436
496.12306153076537,124535965899.95503
496.29814907453726,124772059963.17787
496.4732366183092,125008356902.66396
496.648324162081,125244856463.53224
496.82341170585295,125481558390.43231
496.9984992496248,125718462427.54292
497.1735867933967,125955568318.57742
497.34867433716863,126192875806.78238
497.5237618809404,126430384634.93918
497.69884942471236,126668094545.36742
497.87393696848426,126906005279.92435
498.0490245122561,127144116580.007
498.224112056028,127382428186.55386
498.39919959979994,127620939840.04634
498.5742871435717,127859651280.51044
498.7493746873437,128098562247.51633
498.92446223111557,128337672480.18352
499.0995497748874,128576981717.17795
499.27463731865936,128816489696.71748
499.44972486243114,129056196156.57025
499.6248124062031,129296100834.05832
499.799899949975,129536203466.05693
499.9749874937468,129776503788.99837
500.1500750375187,130017001538.87198
500.32516258129067,130257696451.22632
500.50025012506245,130498588261.16878
500.6753376688344,130739676703.36987
500.8504252126063,130980961512.06339
501.02551275637813,131222442421.0467
501.2006003001501,131464119163.68442
501.375687843922,131705991472.90833
501.5507753876938,131948059081.21848
501.7258629314657,132190321720.68657
501.90095047523766,132432779122.95569
502.07603801900945,132675431019.24257
502.2511255627814,132918277140.33926
502.4262131065533,133161317216.61275
502.60130065032513,133404550978.00874
502.776388194097,133647978154.05284
502.951475737869,133891598473.85016
503.1265632816408,134135411666.08882
503.3016508254127,134379417459.03981
503.47673836918466,134623615580.55986
503.65182591295644,134868005758.0922
503.8269134567284,135112587718.66801
504.0020010005003,135357361188.90794
504.1770885442721,135602325895.02293
504.352176088044,135847481562.81755
504.52726363181597,136092827917.68893
504.70235117558775,136338364684.63033
504.8774387193597,136584091588.23213
505.05252626313154,136830008352.68144
505.22761380690343,137076114701.76624
505.4027013506754,137322410358.8755
505.57778889444717,137568895047.00027
505.7528764382191,137815568488.73654
505.927963981991,138062430406.28482
506.10305152576285,138309480521.45288
506.27813906953475,138556718555.65738
506.4532266133067,138804144229.9239
506.6283141570785,139051757264.8905
506.80340170085043,139299557380.80707
506.9784892446223,139547544297.538
507.15357678839416,139795717734.56335
507.3286643321661,140044077410.98044
507.5037518759379,140292623045.50565
507.67883941970985,140541354356.474
507.85392696348174,140790271061.8432
508.0290145072536,141039372879.1931
508.2041020510255,141288659525.72894
508.3791895947974,141538130718.2812
508.5542771385692,141787786173.30682
508.72936468234116,142037625606.89328
508.90445222611305,142287648734.75665
509.0795397698849,142537855272.24548
509.25462731365684,142788244934.34146
509.42971485742873,143038817435.66022
509.6048024012006,143289572490.4532
509.77988994497247,143540509812.61078
509.9549774887444,143791629115.66034
510.1300650325162,144042930112.7707
510.30515257628815,144294412516.75266
510.48024012006005,144546076040.0585
510.6553276638319,144797920394.78717
510.8304152076038,145049945292.68262
511.00550275137573,145302150445.13705
511.18059029514757,145554535563.19107
511.35567783891946,145807100357.5352
511.5307653826914,146059844538.51334
511.7058529264632,146312767816.12094
511.88094047023515,146565869900.0099
512.0560280140071,146819150499.48727
512.2311155577788,147072609323.51752
512.4062031015508,147326246080.7248
512.5812906453227,147580060479.39368
512.7563781890946,147834052227.4703
512.9314657328664,148088221032.56482
513.1065532766382,148342566601.95096
513.2816408204102,148597088642.57028
513.4567283641821,148851786861.0309
513.631815907954,149106660963.61032
513.8069034517258,149361710656.25708
513.9819909954978,149616935644.59076
514.1570785392696,149872335633.9048
514.3321660830416,150127910329.16748
514.5072536268134,150383659435.02414
514.6823411705852,150639582655.79645
514.8574287143572,150895679695.48557
515.0325162581291,151151950257.774
515.207603801901,151408394046.0254
515.3826913456728,151665010763.28687
515.5577788894446,151921800112.29102
515.7328664332166,152178761795.45615
515.9079539769886,152435895514.88812
516.0830415207603,152693200972.3821
516.2581290645322,152950677869.4241
516.4332166083042,153208325907.19208
516.608304152076,153466144786.55597
516.7833916958479,153724134208.08276
516.9584792396198,153982293872.03354
517.1335667833916,154240623478.36835
517.3086543271636,154499122726.74664
517.4837418709355,154757791316.5261
517.6588294147073,155016628946.76828
517.8339169584792,155275635316.23776
518.0090045022512,155534810123.4038
518.184092046023,155794153066.44055
518.3591795897948,156053663843.2317
518.5342671335668,156313342151.36813
518.7093546773386,156573187688.1517
518.8844422211106,156833200150.59622
519.0595297648824,157093379235.42935
519.2346173086543,157353724639.09088
519.4097048524262,157614236057.73935
